,country,confirmed,deaths,recovered,active,%deaths,%recovered,%D/100R,%obesity,%diabetes
0,Spain,272421,28432,150376,93613,10.44,55.2,18.91,23.8,6.9
1,France,220352,30212,81212,108928,13.71,36.86,37.2,21.6,4.8
2,Italy,246286,35112,198593,12581,14.26,80.64,17.68,19.9,5.0
3,Greece,4227,202,1374,2651,4.78,32.51,14.7,24.9,4.7
4,Turkey,227019,5630,210469,10920,2.48,92.71,2.67,32.1,11.1
5,US,4290259,148011,1325804,2816444,3.45,30.9,11.16,36.2,10.8
6,China,86783,4656,78869,3258,5.37,90.88,5.9,6.2,9.2
7,India,1480073,33408,951166,495499,2.26,64.26,3.51,3.9,10.4
8,Mexico,395489,44022,303810,47657,11.13,76.82,14.49,28.9,13.5
9,New Zealand,1557,22,1514,21,1.41,97.24,1.45,30.8,6.2
10,United Kingdom,301708,45844,1437,254427,15.19,0.48,3190.26,27.8,3.9
