,Country,Rank,Obesity rate% (2016)
0,Nauru,1,61.00
1,Cook Islands,2,55.90
2,Palau,3,55.30
3,Marshall Islands,4,52.90
4,Tuvalu,5,51.60
5,Niue,6,50.00
6,Tonga,7,48.20
7,Samoa,8,47.30
8,Kiribati,9,46.00
9,Federated States of Micronesia,10,45.80
10,Kuwait,11,37.90
11,United States,12,36.20
12,Jordan,13,35.50
13,Saudi Arabia,14,35.40
14,Qatar,15,35.10
15,Libya,16,32.50
16,Turkey,17,32.10
17,Egypt,18,32.00
18,Lebanon,19,32.00
19,United Arab Emirates,20,31.70
20,Bahamas,21,31.60
21,New Zealand,22,30.80
22,Iraq,23,30.40
23,Fiji,24,30.20
24,Bahrain,25,29.80
25,Canada,26,29.40
26,Australia,27,29.00
27,Malta,28,28.90
28,Mexico,29,28.90
29,South Africa,30,28.30
30,Argentina,31,28.30
31,Chile,32,28.00
32,Dominica,33,27.90
33,Uruguay,34,27.90
34,Syria,35,27.80
35,United Kingdom,36,27.80
36,Dominican Republic,37,27.80
37,Algeria,38,27.40
38,Oman,39,27.00
39,Tunisia,40,26.90
40,Suriname,41,26.40
41,Hungary,42,26.40
42,Lithuania,43,26.30
43,Morocco,44,26.10
44,Israel,45,26.10
45,Czech Republic,46,26.00
46,Iran,47,25.80
47,Costa Rica,48,25.70
48,Andorra,49,25.60
49,Venezuela,50,25.60
50,Ireland,51,25.30
51,Vanuatu,52,25.20
52,Bulgaria,53,25.00
53,Greece,54,24.90
54,Jamaica,55,24.70
55,Cuba,56,24.60
56,El Salvador,57,24.60
57,Belarus,58,24.50
58,Croatia,59,24.40
59,Belize,60,24.10
60,Ukraine,61,24.10
61,Spain,62,23.80
62,Nicaragua,63,23.70
63,Saint Vincent and the Grenadines,64,23.70
64,Latvia,65,23.60
65,Montenegro,66,23.30
66,Norway,67,23.10
67,Barbados,68,23.10
68,Poland,69,23.10
69,Russia,70,23.10
70,Saint Kitts and Nevis,71,22.90
71,Panama,72,22.70
72,Haiti,73,22.70
73,Luxembourg,74,22.60
74,Solomon Islands,75,22.50
75,Romania,76,22.50
76,North Macedonia,77,22.40
77,Colombia,78,22.30
78,Germany,79,22.30
79,Finland,80,22.20
80,Belgium,81,22.10
81,Brazil,82,22.10
82,Iceland,83,21.90
83,Cyprus,84,21.80
84,Albania,85,21.70
85,Georgia,86,21.70
86,France,87,21.60
87,Serbia,88,21.50
88,Honduras,89,21.40
89,Grenada,90,21.30
90,Papua New Guinea,91,21.30
91,Estonia,92,21.20
92,Guatemala,93,21.20
93,Kazakhstan,94,21.00
94,Portugal,95,20.80
95,Mongolia,96,20.60
96,Sweden,97,20.60
97,Slovakia,98,20.50
98,Netherlands,99,20.40
99,Paraguay,100,20.30
100,Guyana,101,20.20
101,Slovenia,102,20.20
102,Armenia,103,20.20
103,Bolivia,104,20.20
104,Austria,105,20.10
105,Azerbaijan,106,19.90
106,Italy,107,19.90
107,Ecuador,108,19.90
108,Peru,109,19.70
109,Saint Lucia,110,19.70
110,Denmark,111,19.70
111,Switzerland,112,19.50
112,Antigua and Barbuda,113,18.90
113,Botswana,114,18.90
114,Moldova,115,18.90
115,Trinidad and Tobago,116,18.60
116,Turkmenistan,117,18.60
117,Bosnia and Herzegovina,118,17.90
118,Namibia,119,17.20
119,Yemen,120,17.10
120,Kyrgyzstan,121,16.60
121,Lesotho,122,16.60
122,Uzbekistan,123,16.60
123,Eswatini,124,16.50
124,Malaysia,125,15.60
125,Zimbabwe,126,15.50
126,Gabon,127,15.00
127,Tajikistan,128,14.20
128,Brunei,129,14.10
129,Seychelles,130,14.00
130,Djibouti,131,13.50
131,Mauritania,132,12.70
132,São Tomé and Príncipe,133,12.40
133,Cape Verde,134,11.80
134,Cameroon,135,11.40
135,Ghana,136,10.90
136,Mauritius,137,10.80
137,Gambia,138,10.30
138,Ivory Coast,139,10.30
139,Thailand,140,10.00
140,Liberia,141,9.90
141,Benin,142,9.60
142,Republic of the Congo,143,9.60
143,Guinea-Bissau,144,9.50
144,Nigeria,145,8.90
145,Senegal,146,8.80
146,Sierra Leone,147,8.70
147,Maldives,148,8.60
148,Mali,149,8.60
149,Pakistan,150,8.60
150,Togo,151,8.40
151,Tanzania,152,8.40
152,Somalia,153,8.30
153,Angola,154,8.20
154,Zambia,155,8.10
155,Equatorial Guinea,156,8.00
156,Comoros,157,7.80
157,Guinea,158,7.70
158,Central African Republic,159,7.50
159,Mozambique,160,7.20
160,Kenya,161,7.10
161,Indonesia,162,6.90
162,North Korea,163,6.80
163,Democratic Republic of the Congo,164,6.70
164,Sudan,165,6.60
165,South Sudan,166,6.60
166,Bhutan,167,6.40
167,Philippines,168,6.40
168,China,169,6.20
169,Singapore,170,6.10
170,Chad,171,6.10
171,Malawi,172,5.80
172,Rwanda,173,5.80
173,Burkina Faso,174,5.60
174,Niger,175,5.50
175,Afghanistan,176,5.50
176,Burundi,177,5.40
177,Madagascar,178,5.30
178,Laos,179,5.30
179,Uganda,180,5.30
180,Sri Lanka,181,5.20
181,Eritrea,182,5.00
182,South Korea,183,4.70
183,Ethiopia,184,4.50
184,Japan,185,4.30
185,Nepal,186,4.10
186,Cambodia,187,3.90
187,India,188,3.90
188,Timor-Leste,189,3.80
189,Bangladesh,190,3.60
190,Vietnam,191,2.10
